,MEMBER_RATING,OPTIN_TIME,OPTIN_IP,CONFIRM_TIME,CONFIRM_IP,LATITUDE,LONGITUDE,GMTOFF,DSTOFF,TIMEZONE,CC,REGION,LAST_CHANGED,LEID,EUID,NOTES,TAGS
0,4,2012-06-29 08:55:21,,2019-03-24 19:33:45,,47.6135000,'-122.2970000,,,206/564,us,wa,2019-03-24 19:33:45,75892635,549d9ac0d4,,
1,2,2015-10-26 14:09:53,,2019-03-24 19:33:48,,43.9426000,4.8171300,,,,fr,pac,2019-03-24 19:33:48,75896671,c394a85099,,
2,5,2017-08-22 14:32:35,,2019-03-24 19:33:37,,40.7512000,'-73.9721000,,,212/332/646/917,us,ny,2019-03-24 19:33:37,75881095,a0268bf545,,
3,2,2018-03-19 09:46:14,,2019-03-24 19:33:46,,48.8302000,2.4461700,,,,fr,idf,2019-03-24 19:33:46,75893031,32e3d82693,,
4,4,2019-10-15 07:11:27,,2019-10-15 07:11:27,125.63.68.125,28.6037000,77.3044000,,,,in,dl,2019-10-15 07:11:27,93869331,0f5b9df37c,,
5,5,2014-12-10 12:28:27,,2019-03-24 19:33:27,,48.8277000,2.3615200,,,,fr,idf,2019-03-24 19:33:27,75866655,18aa175f8b,,
6,5,2012-06-29 08:55:03,,2019-03-24 19:33:40,,36.1045000,'-115.0680000,,,702/725,us,nv,2019-03-24 22:48:07,75885547,4360452ec8,,
7,5,2012-06-29 08:56:03,,2019-03-24 19:34:02,,45.4610000,9.1964300,,,,it,mi,2019-03-24 19:34:02,75913007,1993244fff,,
8,2,2012-06-29 08:54:41,,2019-03-24 19:33:35,,43.6682000,'-79.4209000,,,416,ca,on,2019-03-24 19:33:35,75878415,20f77b2d3e,,
9,2,2015-11-01 22:19:36,,2019-03-24 19:33:49,,59.9653000,10.8917000,,,,no,3,2019-03-24 19:33:49,75897151,bde232516d,,
10,5,2014-09-01 09:48:44,,2019-03-24 19:33:58,,,,,,,,,2019-03-24 19:33:58,75909799,67302b8a73,,
11,2,2015-04-13 15:15:08,,2019-03-24 19:33:34,,,,,,,,,2019-03-24 19:33:34,75876511,3e5a9a4cb6,,
12,4,2015-03-24 10:48:54,,2019-03-24 19:33:32,,,,,,,,,2019-03-24 19:33:32,75874455,8b1315a9fb,,
13,5,2012-06-29 08:55:21,,2019-03-24 19:33:45,,28.5459000,'-81.1812000,,,407/321/689,us,fl,2019-03-24 19:33:45,75892219,dee7bd880f,,
14,2,2012-06-29 08:54:09,,2019-03-24 19:33:26,,45.4807000,9.2452100,,,,it,mi,2019-03-24 19:33:26,75865907,a434e158c9,,
15,3,2012-06-29 08:55:08,,2019-03-24 19:33:43,,40.7081000,'-74.0122000,,,212/646/917/929,us,ny,2019-04-22 06:32:05,75888807,b97ec45eea,,
16,5,2013-05-31 07:13:09,,2019-03-24 19:33:41,,59.9254000,10.7695000,,,,no,3,2019-03-24 19:33:41,75886451,c156e54339,,
17,5,2012-06-29 08:55:21,,2019-03-24 19:33:45,,45.7633000,4.9659600,,,,fr,ara,2019-03-24 19:33:45,75891519,49120dbccb,,
18,2,2012-06-29 08:54:21,,2019-03-24 19:33:32,,45.4580000,9.1627100,,,,it,mi,2019-03-24 19:33:32,75873335,b598a06efe,,
19,5,2016-02-01 15:30:27,,2019-03-24 19:33:56,,,,,,,,,2019-03-24 19:33:56,75907059,4865cc3681,,
20,5,2017-10-29 18:51:38,,2019-03-24 19:33:40,,,,,,,,,2019-03-24 19:33:40,75884759,2743d915cb,,
21,5,2018-03-19 15:26:55,,2019-03-24 19:33:46,,48.8029000,2.2870500,,,,fr,idf,2019-03-24 19:33:46,75893931,435cf82ffc,,
22,5,2012-06-29 08:55:08,,2019-03-24 19:33:44,,18.3793000,'-66.0602000,,,787/939,pr,no region,2019-03-24 19:33:44,75890819,f0d5d36139,,
23,5,2012-06-29 08:55:45,,2019-03-24 19:33:54,,,,,,,,,2019-03-24 19:33:54,75904939,06fe730b2a,,
24,2,2016-02-24 10:11:06,,2019-03-24 19:33:59,,,,,,,,,2019-03-24 19:33:59,75910791,f76b33bd36,,
25,2,2012-10-01 17:08:26,,2019-03-24 19:33:32,,,,,,,,,2019-03-24 19:33:32,75873955,73a354f7c3,,
26,5,2015-03-06 13:09:21,,2019-03-24 19:33:31,,48.8722000,2.3128600,,,,fr,idf,2019-03-24 19:33:31,75872983,d2f68010f9,,
27,2,2012-06-29 08:54:20,,2019-03-24 19:33:30,,,,,,,,,2019-03-24 19:33:30,75870851,4365dc0e35,,
28,5,2012-06-29 08:56:29,,2019-03-24 19:33:24,,32.8463000,'-116.9890000,,,619,us,ca,2019-03-24 19:33:24,75862795,56a7c095da,,
29,2,2015-06-16 16:44:16,,2019-03-24 19:33:38,,,,,,,,,2019-03-24 19:33:38,75881951,beb2654a58,,
30,3,2012-06-29 08:55:59,,2019-03-24 19:33:57,,22.2759000,114.1670000,,,,hk,no region,2019-03-24 19:33:57,75908543,97a810d5c2,,
31,4,2017-10-30 08:38:42,,2019-03-24 19:33:40,,60.1834000,24.9520000,,,,fi,18,2019-03-24 19:33:40,75884891,b57b1ce3e7,,
32,5,2017-06-26 15:07:40,,2019-03-24 19:33:35,,38.9987000,'-76.9287000,,,301/240,us,md,2019-03-24 19:33:35,75877859,1e30379bd0,,
33,3,2016-02-16 02:09:39,,2019-03-24 19:33:58,,,,,,,,,2019-03-24 19:33:58,75910079,968bf299dd,,
34,5,2017-03-06 18:29:24,,2019-03-24 19:33:32,,42.0097000,12.4794000,,,,it,rm,2019-03-24 19:33:32,75873799,25fefe9718,,
35,5,2012-06-29 08:56:29,,2019-03-24 19:33:26,,48.8967000,2.2514100,,,,fr,idf,2019-03-24 19:33:26,75864963,a8e7b98c3b,,
